date,city,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
2020/2/7,Seattle,13.4,0.43,0,47,52,43
2020/2/8,Atlanta,3.6,0.12,0,37,45,31
2020/2/8,Boston,16.6,0,0,31,37,25
2020/2/8,Chicago,6.3,0,0,32,37,28
2020/2/8,Honolulu,9.6,0,,69,79,60
2020/2/8,Houston,8.5,0,0,60,73,50
2020/2/8,LA,6,0,,57,64,50
2020/2/8,Miami,7.6,0,,66,76,59
2020/2/8,NYC,14.1,0,0,34,40,30
2020/2/8,Phoenix,4,0,,56,72,44
2020/2/8,SF,10.5,0,,53,60,45
2020/2/8,Seattle,9.6,0.04,0,45,48,40
2020/2/9,Atlanta,6.9,0,0,41,56,34
2020/2/9,Boston,7.4,0,0,27,38,20
2020/2/9,Chicago,10.1,0.14,1,31,37,25
2020/2/9,Honolulu,11.9,0.1,,71,80,63
2020/2/9,Houston,12.1,0.11,0,65,73,57
2020/2/9,LA,8.3,0,,57,63,55
2020/2/9,Miami,13,0,,74,81,71
2020/2/9,NYC,10.5,0,0,35,42,30
2020/2/9,Phoenix,8.5,0,,59,76,47
2020/2/9,SF,22.4,0,,54,61,45
2020/2/9,Seattle,2.9,0,0,43,48,36
2020/2/10,Atlanta,7.2,1.48,0,45,55,39
2020/2/10,Boston,13.4,0.16,0,42,47,38
2020/2/10,Chicago,5.8,0,0,32,39,26
2020/2/10,Honolulu,11.9,0.19,,69,75,62
2020/2/10,Houston,11.4,0.03,0,73,78,53
2020/2/10,LA,6.9,0,,61,77,54
2020/2/10,Miami,15.2,0,,77,82,73
2020/2/10,NYC,9.4,0.41,0,43,47,42
2020/2/10,Phoenix,5.8,0.06,,63,72,52
2020/2/10,SF,5.4,0,,58,72,48
2020/2/10,Seattle,3.8,0,0,42,48,37
2020/2/11,Atlanta,10.7,0.34,0,62,70,54
2020/2/11,Boston,6.3,0.17,0,43,45,40
2020/2/11,Chicago,9.6,0,0,31,35,26
2020/2/11,Honolulu,9.2,0.01,,69,80,65
2020/2/11,Houston,10.1,0.05,0,56,57,50
2020/2/11,LA,8.5,0,,65,73,50
2020/2/11,Miami,10.3,0,,78,84,74
2020/2/11,NYC,8.7,0.26,0,44,48,42
2020/2/11,Phoenix,6.3,0.24,,54,60,47
2020/2/11,SF,4,0,,59,74,48
2020/2/11,Seattle,8.3,0.01,0,41,48,35
2020/2/12,Atlanta,8.1,0,0,60,73,52
2020/2/12,Boston,11.4,0,0,41,45,37
2020/2/12,Chicago,5.4,0.18,2,30,37,24
2020/2/12,Honolulu,7.2,0,,72,82,64
2020/2/12,Houston,7.6,0.01,0,54,57,50
2020/2/12,LA,6,0,,59,66,49
2020/2/12,Miami,9.8,0,,78,84,74
2020/2/12,NYC,13.2,0.13,0,42,45,37
2020/2/12,Phoenix,4.9,0,,53,64,43
2020/2/12,SF,6.9,0,,56,66,47
2020/2/12,Seattle,2.2,0.07,0,46,48,41
2020/2/13,Atlanta,15,0.91,0,64,70,41
2020/2/13,Boston,6.7,0.53,0.2,39,41,35
2020/2/13,Chicago,12.3,0.03,1.5,24,32,4
2020/2/13,Honolulu,9.8,0,,77,87,70
2020/2/13,Houston,10.1,0,0,51,60,42
2020/2/13,LA,6.7,0,,58,66,51
2020/2/13,Miami,10.7,0,,80,86,76
2020/2/13,NYC,8.3,0.39,0,39,44,36
2020/2/13,Phoenix,4,0,,55,68,43
2020/2/13,SF,7.2,0,,52,56,44
2020/2/13,Seattle,11.4,0.02,0,43,48,37
2020/2/14,Atlanta,12.1,0,0,44,52,34
2020/2/14,Boston,14.3,0,0,33,40,15
2020/2/14,Chicago,7.8,0,0,6,15,-2
2020/2/14,Honolulu,11.9,0,,79,84,74
2020/2/14,Houston,6,0,0,47,62,36
2020/2/14,LA,6.3,0,,58,66,50
2020/2/14,Miami,5.1,0.02,,78,87,73
2020/2/14,NYC,17.4,0,0,35,40,19
2020/2/14,Phoenix,3.8,0,,58,72,48
2020/2/14,SF,6.7,0,,52,61,47
2020/2/14,Seattle,13.6,0.11,0,44,50,42
2020/2/15,Atlanta,8.1,0,0,42,56,32
2020/2/15,Boston,10.3,0,0,19,31,12
2020/2/15,Chicago,12.8,0,0,18,33,7
2020/2/15,Honolulu,13.6,0,,77,84,72
2020/2/15,Houston,8.1,0,0,51,67,40
2020/2/15,LA,5.8,0,,57,65,48
2020/2/15,Miami,8.1,0.56,,74,83,70
2020/2/15,NYC,9.6,0,0,22,30,15
2020/2/15,Phoenix,4.7,0,,59,73,46
2020/2/15,SF,8.5,0,,53,61,44
2020/2/15,Seattle,11.4,0.11,0,44,46,42
2020/2/16,Atlanta,5.4,0.29,0,45,47,42
2020/2/16,Boston,11.2,0,0,35,46,29
2020/2/16,Chicago,3.6,0,0,30,43,20
2020/2/16,Honolulu,16.3,0,,77,82,72
2020/2/16,Houston,3.8,0,0,63,72,59
2020/2/16,LA,5.4,0,,58,67,51
2020/2/16,Miami,8.5,0.32,,76,82,72
2020/2/16,NYC,6.5,0,0,34,44,29
2020/2/16,Phoenix,4.3,0,,60,74,46
2020/2/16,SF,15.4,0,,54,60,50
2020/2/16,Seattle,9.6,0,0,43,48,38
2020/2/17,Atlanta,6.5,0,0,47,53,44
2020/2/17,Boston,8.7,0,0,42,49,31
2020/2/17,Chicago,9.2,0.13,0,35,41,28
2020/2/17,Honolulu,16.1,0,,76,83,72
2020/2/17,Houston,8.1,0.01,0,67,81,58
2020/2/17,LA,5.6,0,,58,65,50
2020/2/17,Miami,5.1,0,,76,85,68
2020/2/17,NYC,7.2,0,0,43,51,38
2020/2/17,Phoenix,4.7,0,,62,76,49
2020/2/17,SF,5.4,0,,54,71,44
2020/2/17,Seattle,5.1,0,0,41,48,34
2020/2/18,Atlanta,6,2.41,0,55,62,51
2020/2/18,Boston,10.7,0.45,0,37,42,31
2020/2/18,Chicago,13.6,0,0,37,39,25
2020/2/18,Honolulu,14.5,0,,75,83,72
2020/2/18,Houston,8.1,0,0,73,79,60
2020/2/18,LA,7.2,0,,60,68,55
2020/2/18,Miami,12.1,0,,78,85,74
2020/2/18,NYC,9.8,0,0,41,47,37
2020/2/18,Phoenix,4.9,0,,63,79,51
2020/2/18,SF,8.1,0,,57,67,49
2020/2/18,Seattle,8.9,0,0,40,48,31
2020/2/19,Atlanta,8.9,0.09,0,55,60,50
2020/2/19,Boston,15,0,0,43,46,32
2020/2/19,Chicago,8.7,0,0,25,31,16
2020/2/19,Honolulu,17.9,0.03,,75,82,71
2020/2/19,Houston,10.3,0.01,0,60,60,51
2020/2/19,LA,6.7,0,,62,66,58
2020/2/19,Miami,7.8,0,,79,85,75
2020/2/19,NYC,14.3,0,0,44,48,33
2020/2/19,Phoenix,4,0,,65,79,53
2020/2/19,SF,6.9,0,,52,65,44
